No,Title,Address,Phone,Rating,Reviews,Type,Hours
109,Se-duh Coffee and Milk,"58MC+6H2, Jl. Puntadewa, Ngebel, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",82229774580,5,12,Coffee shop,
110,Sellie Coffee Paris,"Jl. Parangtritis No.km 9, Balong, Timbulharjo, Sewon, Bantul Regency, Special Region of Yogyakarta 55186, Indonesia",#ERROR!,4.9,15,Coffee shop,Open ⋅ Closes 11:30 PM
111,Selo coffee 2,"Jl. Kasongan, Niten, Tirtonirmolo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",82234853383,4.5,85,Coffee shop,
112,Senderan Coffee,"484M+XWX, Jl. Dr. Wahidin Sudiro Husodo, Karangbayam, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55714",85869520840,5,58,Coffee shop,
113,Shea Creative & Cafe,"Jl. Pasopati No.38, Kauman, Tamanan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55191",,4.9,49,Coffee shop,
114,Shelter Sambat,"Jl. Tentara Pelajar, Area Sawah, Trirenggo, Bantul, Bantul Regency, Special Region of Yogyakarta 55714, Indonesia",#ERROR!,4.7,317,Coffee shop,Open ⋅ Closes 11 PM
115,Sinom Coffee & Space,"Jl. Bugisan Selatan No.95, Dongkelan Kauman, Tirtonirmolo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55181",85770054146,4.9,160,Coffee shop,
116,SISILAIN Coffee & Eatery,"Bakulan Wetan, Patalan, Kec. Jetis, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55781, Indonesia",#ERROR!,,,Coffee shop,Closes soon ⋅ 12 PM ⋅ Reopens 4 PM
117,South Bant Coffee X Grill,"4853+R7V, Kalak Ijo, Guwosari, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta",,4.9,40,Coffee shop,
118,Spacer Coffee : Healthy Slow Bar,"Jl. Dongkelan Kabupaten No.RT 08, Dongkelan, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55182",8983553771,4.9,48,Coffee shop,
119,Srawung Coffee Collective,"Ngentak, Timbulharjo, Sewon, Bantul Regency, Special Region of Yogyakarta 55185, Indonesia",#ERROR!,4.8,227,Coffee shop,Open ⋅ Closes 11 PM
120,Stako Kopi Paseban,"487F+MQH, Jl. Gatot Subroto, Soropaten, Ringinharjo, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55281",,4.1,138,Coffee shop,
121,Tampa Coffee Bar,"Jl. Mgr. Sugiyo Pranoto No.27, Area Sawah, Trirenggo, Bantul, Bantul Regency, Special Region of Yogyakarta 55711, Indonesia",#ERROR!,4.8,200,Coffee shop,Open ⋅ Closes 11 PM
122,Teman Bicara Cafe,"Botokenceng, Wirokerten, Banguntapan, Bantul Regency, Special Region of Yogyakarta 55194",81221777809,4.6,503,Coffee shop,
123,Temani Ngopi,"Jl. Urip Sumoharjo No.8, Bejen, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711",81517131986,4.7,710,Coffee shop,
124,Tembi Coffee & Angkringan,"49H3+6G7, Coffee & Angkringan, Near, Tembi, Timbulharjo, Sewon, Bantul Regency, Special Region of Yogyakarta 55185, Indonesia",#ERROR!,4.9,44,Coffee shop,Closed ⋅ Opens 6 PM
125,Titik Tentram,"Jl. Ngelosari No.rt 06, Jombor, Srimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792",85174265323,4.7,285,Cafe,"{Monday, Closed; Tuesday, 2.00–9.00 pm; Wednesday, 2.00–9.00 pm; Thursday, 2.00–9.00 pm; Friday, 2.00–9.00 pm; Saturday, 6.30–9.30 am, 2.00–9.00 pm; Sunday, 6.30–9.30 am, 2.00–9.00 pm}"
126,TOMORO COFFEE - Tamantirto UMY,"58MF+WQG, Jl. Ringroad Barat, Gatak, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",,4.3,103,Cafe,"{Monday, 10.00 am–12.00 am; Tuesday, 10.00 am–12.00 am; Wednesday, 10.00 am–12.00 am; Thursday, 10.00 am–12.00 am; Friday, 10.00 am–12.00 am; Saturday, 10.00 am–12.00 am; Sunday, 10.00 am–12.00 am}"
127,Toska Kahve Roastery (Bantul),"Jl. Kh Wahid Hasyim No.24, Bejen, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55712",85641301354,5,226,Coffee shop,
128,Truntum Coffee & Space,"Ps. Niten, Jl. Belakang, Sawit, Baru, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",87738934900,4.9,128,Cafe,"{Monday, 10.00 am–11.00 pm; Tuesday, 10.00 am–11.00 pm; Wednesday, 10.00 am–11.00 pm; Thursday, 10.00 am–11.00 pm; Friday, 10.00 am–11.00 pm; Saturday, 10.00 am–11.00 pm; Sunday, 10.00 am–11.00 pm}"
129,wahwoo coffee,"Krapyak Kulon, RT.04, Krapyak Kulon, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",87734233336,4.8,365,Coffee shop,
130,Wande Kopi Roastery,"Komplek Pertokoan Tritunggal, Jl. Tritunggal No. T1, Salakan, Bangunharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",87739874757,4.5,663,Coffee shop,
131,Warung Kopi Keno,"494M+26R, Bulu, Trimulyo, Jetis, Bantul Regency, Special Region of Yogyakarta 55781, Indonesia",#ERROR!,5,7,Coffee shop,Closed ⋅ Opens 4 PM
132,Wedangan Rock Sugar,"Ketonggo Rt02, Ketongo, Wonokromo, Kec. Pleret, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55791, Indonesia",,4.7,181,Coffee shop,Open ⋅ Closes 11:59 PM
133,Westpash Coffee,"Sayangan No. 06, Sayangan, Jagalan, Banguntapan, Bantul Regency, Special Region of Yogyakarta 55192",82289811849,4.7,436,Cafe,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–11.00 pm; Saturday, 8.00 am–11.00 pm; Sunday, 8.00 am–11.00 pm}"
134,White Rose Bakery & Cakes,"Jl. Jend. A. Yani No.24, Nyangkringan, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711",87712379196,4.3,948,Coffee shop,
