No,Name Cafe,Place,Address,Phone,Rating,Reviews,Type,Hours
64,de Ngokow Coffee Roastery & Tea Club Jogja,Murah,"Jl. Bantul No.64, Gedongkiwo, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55142",87782176489,4.8,491,Cafe,"{Monday, 4.00–11.00 pm; Tuesday, 4.00–11.00 pm; Wednesday, 4.00–11.00 pm; Thursday, 4.00–11.00 pm; Friday, 4.00–11.00 pm; Saturday, 4.00–11.00 pm; Sunday, 4.00–11.00 pm; }"
65,Demakijo’s | Coffee & Eatery,,"Cokrowijayan, Banyuraden, Gamping, Sleman Regency, Special Region of Yogyakarta 55293",81977772025,5,613,Cafe,"{Monday, 10.00 am–12.00 am; Tuesday, 10.00 am–12.00 am; Wednesday, 10.00 am–12.00 am; Thursday, 10.00 am–12.00 am; Friday, 10.00 am–12.00 am; Saturday, 10.00 am–12.00 am; Sunday, 10.00 am–12.00 am}"
66,DJIWANA Cafe & Eatery,,"Jl. Jatirejo, RT.01/RW.21, Jongke Tengah, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285",(0274)5051212,4.5,269,Cafe,"{Monday, 11.00 am–10.00 pm; Tuesday, 11.00 am–10.00 pm; Wednesday, 11.00 am–10.00 pm; Thursday, 11.00 am–10.00 pm; Friday, 11.00 am–10.00 pm; Saturday, 11.00 am–10.00 pm; Sunday, 11.00 am–10.00 pm}"
67,d'Kappu Soemantri Coffee & Brunch,,"Jl. Kapulogo Nologaten No.240, Nologaten, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 63411",0882-0060-82070,4.9,77,Cafe,"{Monday, 9.00 am–10.00 pm; Tuesday, 9.00 am–10.00 pm; Wednesday, 9.00 am–10.00 pm; Thursday, 9.00 am–10.00 pm; Friday, 9.00 am–10.00 pm; Saturday, 9.00 am–10.00 pm; Sunday, 9.00 am–10.00 pm}"
68,Dorpie Coffee,,"Jl. Imogiri Barat No.KM 7, Semail, Bangunharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55797",82322294977,4.8,"1,037",Cafe,"{Monday, 8.00 am–10.30 pm; Tuesday, 8.00 am–10.30 pm; Wednesday, 8.00 am–10.30 pm; Thursday, 8.00 am–10.30 pm; Friday, 8.00 am–10.30 pm; Saturday, 8.00 am–10.30 pm; Sunday, 8.00 am–9.30 pm}"
69,Dummin Coffee & Space UKDW,,"Jl. Dr. Wahidin Sudirohusodo No.34, RT.14/RW.04, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222",,4.5,565,Cafe,Open 24 Hours
70,Eazy Breezy,,"7C2J+XWQ, Gedongan Lor, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",81329086565,4.4,416,Cafe,"{Monday, 9.00 am–1.00 am; Tuesday, 9.00 am–1.00 am; Wednesday, 9.00 am–1.00 am; Thursday, 9.00 am–1.00 am; Friday, 9.00 am–1.00 am; Saturday, 9.00 am–1.00 am; Sunday, 9.00 am–1.00 am}"
71,Eighteen Coffee Jogja,,"Jl. Prof. DR. Ki Amri Yahya No.1, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253",0895-6074-65000,4.8,372,Cafe,"{Monday, 10.00 am–10.00 pm; Tuesday, 10.00 am–10.00 pm; Wednesday, 10.00 am–10.00 pm; Thursday, 10.00 am–10.00 pm; Friday, 8.00 am–11.00 pm; Saturday, 8.00 am–11.00 pm; Sunday, 8.00 am–11.00 pm}"
72,Ekologi Desk & Coffee,,"69PQ+6G2, Jalan Gambir 4, Karang Gayam CT VIII No.139, Karang Gayam, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",(0274)514295,4.5,"2,851",,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
73,ESCO RESTAURANT & NO.27 COFFEE,Belakang Sanata Dharma,"Jl. Pringgodani Jl. Demangan Baru No.14, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4.6,"1,537",Cafe,"{Monday, 8.00 am–11.30 pm; Tuesday, 8.00 am–11.30 pm; Wednesday, 8.00 am–11.30 pm; Thursday, 8.00 am–11.30 pm; Friday, 8.00 am–11.30 pm; Saturday, 8.00 am–11.30 pm; Sunday, 8.00 am–11.30 pm}"
74,Estuary Café,,"Gang Code 3, Karangjati Wetan, No.170 C, Monjali St, RT.06/RW.45, Gemawang, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55283",(0274)5014118,4.6,"3,504",Cafe,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
75,ETECE Coffee Roastery,Sleman,"Jalan Tata Bumi (Perumahan, Jl. Gading Sari II No.2, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293",88221700000,4.9,102,Cafe,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
76,Etten Coffee,wfc,"Ruko Perwita Regency, Jl. Salakan No.A2, Randubelang, Bangunharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",0895-3882-88111,4.9,15,Cafe,"{Monday, 3.00–11.00 pm; Tuesday, 3.00–11.00 pm; Wednesday, 3.00–11.00 pm; Thursday, 3.00–11.00 pm; Friday, 3.00–11.00 pm; Saturday, 3.00–11.00 pm; Sunday, 3.00–11.00 pm}"
77,Ever Coffee Yogyakarta,,"Jl. Rogoyudan 1 No.1, Rogoyudan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",0895-6104-59703,4.6,464,Cafe,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
78,Fifth Note,,"Jl. Damai No.5A, Karang Moko, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",,4.8,97,Cafe,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
79,Fill in Blue,,"Jl. Brigjen Katamso, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55121",81237056149,4.8,244,Cafe,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–11.00 pm; Saturday, 8.00 am–11.00 pm; Sunday, 8.00 am–11.00 pm}"
80,Fordo Espresso Bar,,"Kaliurang St Jl. Pogung Kidul No.34-33, Pogung Kidul, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55284",82325656909,4.6,282,Cafe,Open 24 Hours
81,Fore Coffee - Kaliurang,,"Kaliurang St No.KM 5, Karang Wuni, Caturtunggal, Depok, Sleman Regency, Special Region of Yogyakarta 55153",81211118456,4.4,"1,955",,"{Monday, 7.00 am–11.00 pm; Tuesday, 7.00 am–11.00 pm; Wednesday, 7.00 am–11.00 pm; Thursday, 7.00 am–11.00 pm; Friday, 7.00 am–11.00 pm; Saturday, 7.00 am–11.00 pm; Sunday, 7.00 am–11.00 pm}"
82,Fortunate Coffee Jogja,,"Jl. Jogonegaran No.49E, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",(0274)564219,4.6,780,,"{Monday, 11.00 am–9.00 pm; Tuesday, 11.00 am–9.00 pm; Wednesday, 11.00 am–9.00 pm; Thursday, 11.00 am–9.00 pm; Friday, 11.00 am–9.00 pm; Saturday, 8.00 am–9.00 pm; Sunday, 8.00 am–9.00 pm}"
83,Funkydak,,"Jl. Garuda No.45, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",82124370066,4.1,554,Cafe,"{Monday, 10.00 am–11.00 pm; Tuesday, 10.00 am–11.00 pm; Wednesday, 10.00 am–11.00 pm; Thursday, 10.00 am–11.00 pm; Friday, 10.00 am–11.00 pm; Saturday, 10.00 am–11.00 pm; Sunday, 10.00 am–11.00 pm}"
84,GACA The Publik Haus,,"Jl. Gatotkaca No.1G, Santren, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4.7,133,Cafe,"{Monday, 10.00 am–11.00 pm; Tuesday, 10.00 am–11.00 pm; Wednesday, 10.00 am–11.00 pm; Thursday, 10.00 am–11.00 pm; Friday, 10.00 am–11.00 pm; Saturday, 10.00 am–11.00 pm; Sunday, 10.00 am–11.00 pm}"
85,Gandhok Coffee Kadipaten,,"Jl. Nogosari Lor No.10, Kadipaten, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55132",85330185328,4.7,"1,110",,"{Monday, 8.00 am–10.00 pm; Tuesday, 8.00 am–10.00 pm; Wednesday, 8.00 am–10.00 pm; Thursday, 8.00 am–10.00 pm; Friday, 8.00 am–10.00 pm; Saturday, 8.00 am–10.00 pm; Sunday, 8.00 am–10.00 pm}"
86,Gaskara Coffee & Vibes,,"Kutu Wates, Kutu Asem, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55241",85117300186,5,605,Cafe,"{Monday, 8.00 am–3.00 am; Tuesday, 8.00 am–3.00 am; Wednesday, 8.00 am–3.00 am; Thursday, 8.00 am–3.00 am; Friday, 8.00 am–3.00 am; Saturday, 8.00 am–3.00 am; Sunday, 8.00 am–3.00 am}"
87,Gemati Cafe and Space Yogyakarta,,"Jl. Sidomukti, Tiyosan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4.6,630,Cafe,"{Monday, 9.00 am–12.00 am; Tuesday, 9.00 am–12.00 am; Wednesday, 9.00 am–12.00 am; Thursday, 9.00 am–12.00 am; Friday, 9.00 am–12.00 am; Saturday, 9.00 am–12.00 am; Sunday, 9.00 am–12.00 am}"
88,GIRIMANAH,,"Pundak II, Kembang, Nanggulan, Kulon Progo Regency, Special Region of Yogyakarta",,4.7,453,Cafe,"{Monday, 9.00 am–8.00 pm; Tuesday, 9.00 am–8.00 pm; Wednesday, 9.00 am–8.00 pm; Thursday, 9.00 am–8.00 pm; Friday, 9.00 am–8.00 pm; Saturday, 9.00 am–8.00 pm; Sunday, 9.00 am–8.00 pm}"
89,"GOFFEÉ Doughnuts & Coffee, Yogyakarta",,"Jl. Wahid Hasyim, Ngropoh, Condongcatur, Kec. Depok, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55281",85946760740,4.8,495,Cafe,"{Monday, 10.00 am–1.00 am; Tuesday, 10.00 am–1.00 am; Wednesday, 10.00 am–1.00 am; Thursday, 10.00 am–1.00 am; Friday, 10.00 am–1.00 am; Saturday, 10.00 am–1.00 am; Sunday, 10.00 am–1.00 am}"
90,Goho Coffee & Eatery,,"Jl. Wahid Hasyim No.32, RT.07/RW25/RW.Widoro baru, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283",85117786100,4.8,724,Cafe,"{Monday, 10.00 am–12.00 am; Tuesday, 10.00 am–12.00 am; Wednesday, 10.00 am–12.00 am; Thursday, 10.00 am–12.00 am; Friday, 10.00 am–12.00 am; Saturday, 10.00 am–12.00 am; Sunday, 10.00 am–12.00 am}"
91,Hagia Coffee Yogyakarta,,"Jl. Pringgokusuman No.10, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55272",88227280960,4.6,302,Cafe,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–1.00 am; Saturday, 8.00 am–1.00 am; Sunday, 7.00 am–12.00 am}"
92,HaloHelokopi,,"Jl. Babaran, Warungboto, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55161",81390956569,4.9,819,,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
93,Hayati | Specialty Coffee,,"Jl. Demangan Baru No.7, Demangan Baru, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",81225345877,4.6,"2,664",,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
94,Henggoy Coffee,,"Jl. Menukan No.3A, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",82139124912,4.5,213,,"{Monday, 10.00 am–12.00 am; Tuesday, 10.00 am–12.00 am; Wednesday, 10.00 am–12.00 am; Thursday, 10.00 am–12.00 am; Friday, 10.00 am–12.00 am; Saturday, 10.00 am–12.00 am; Sunday, 10.00 am–12.00 am}"
95,Hidjau Coffee & Mart,Garden,"Jl. KH. Ahmad Dahlan No.132, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55261",(0274)513230,4.5,"1,397",,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pml Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–12.00 am; Saturday, 9.00 am–12.00 am; Sunday, 9.00 am–11.00 pm}"
96,Hitam Manis Kedai Kopi - Yogyakarta,Sleman,"Jl. Gerilya, Pondok, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",82138552339,4.7,397,Cafe,"{Monday, 8.30 am–12.00 am; Tuesday, 8.30 am–12.00 am; Wednesday, 8.30 am–12.00 am; Thursday, 8.30 am–12.00 am; Friday, 8.30 am–12.00 am; Saturday, 8.30 am–12.00 am; Sunday, 8.30 am–12.00 am}"
97,Hoja Coffee Bar,,"69MH+MRF, Kocoran CT.III, RT.5/RW.3, Kocoran, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",,4.3,199,Cafe,"{Monday, 7.00 am–12.00 am; Tuesday, 7.00 am–12.00 am; Wednesday, 7.00 am–12.00 am; Thursday, 7.00 am–12.00 am; Friday, 7.00 am–12.00 am; Saturday, 7.00 am–12.00 am; Sunday, 7.00 am–12.00 am}"
98,Hope Coffee & Kitchen,,"5945+49F, Pandes, Panggungharjo, Sewon, Bantul Regency, Special Region of Yogyakarta 55188",89635392300,4.9,17,Cafe,"{Monday, 12.00–11.00 pm; Tuesday, 12.00–11.00 pm; Wednesday, 12.00–11.00 pm; Thursday, 12.00–11.00 pm; Friday, 12.00–11.00 pm; Saturday, 12.00–11.00 pm; Sunday, 12.00–11.00 pm}"
99,HSCO. Had Some Coffee.,,"Jl. Pekapalan, Alun-Alun Utara, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55121",87758599215,4.8,324,,"{Monday, 6.00 am–10.00 pm; Tuesday, 6.00 am–10.00 pm; Wednesday, 6.00 am–10.00 pm; Thursday, 6.00 am–10.00 pm; Friday, 6.00 am–12.00 am; Saturday, 6.00 am–12.00 am; Sunday, 6.00 am–12.00 am}"
100,Inmigunani,,"Purwokinanti PA1 301, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55112",85337232188,4.9,251,,"{Monday, 7.00 am–3.00 pm; Tuesday, 7.00 am–3.00 pm; Wednesday, 7.00 am–3.00 pm; Thursday, 7.00 am–3.00 pm; Friday, 7.00 am–3.00 pm; Saturday, 7.00 am–3.00 pm; Sunday, 7.00 am–3.00 pm}"
101,Isvara Riverside,,"Nambongan, Tlogoadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55286",87733445563,4.5,"2,388",Cafe,"{Monday, 10.00 am–11.00 pm; Tuesday, 10.00 am–11.00 pm; Wednesday, 10.00 am–11.00 pm; Thursday, 10.00 am–11.00 pm; Friday, 10.00 am–11.00 pm; Saturday, 9.00 am–12.00 am; Sunday, 9.00 am–11.00 pm; }"
102,Jeeva Yogyakarta,,"Jl. Suhartono No.2, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",811255568,4.5,"2,291",Cafe,"{Monday, 7.00 am–10.00 pm; Tuesday, 7.00 am–10.00 pm; Wednesday, 7.00 am–10.00 pm; Thursday, 7.00 am–10.00 pm; Friday, 7.00 am–10.00 pm; Saturday, 7.00 am–10.00 pm; Sunday, 7.00 am–10.00 pm}"
103,JeevnyCoffee ꦗꦼꦄꦼꦮ꦳꧀ꦚ꧀ꦕꦺꦴꦥ꦳꧀ꦥ꦳ꦺꦪꦺ,Umbulharjo,"59QQ+R9G, Gg. Anggrek, Warungboto, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55164",,4.8,57,Cafe,"{Monday, 4.00–11.00 pm; Tuesday, 4.00–11.00 pm; Wednesday, 4.00–11.00 pm; Thursday, 4.00–11.00 pm; Friday, 4.00–11.00 pm; Saturday, 4.00–11.00 pm; Sunday, 4.00–11.00 pm}"
104,Jiwajawi Jogja,,"Jl. Tugu Gentong Jl. Fasco Village, Salakan, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",87713574413,4.5,"1,979",Cafe,"{Monday, 11.00 am–6.00 pm; Tuesday, 11.00 am–6.00 pm; Wednesday, 11.00 am–6.00 pm; Thursday, 11.00 am–6.00 pm; Friday, 11.00 am–6.00 pm; Saturday, 11.00 am–6.00 pm; Sunday, 11.00 am–6.00 pm}"
105,Jnawi Cafe,,"697G+P92, Jl. Sareh, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",,4.6,343,,"{Monday, 7.00 am–12.00 am; Tuesday, 7.00 am–12.00 am; Wednesday, 7.00 am–12.00 am; Thursday, 7.00 am–12.00 am; Friday, 7.00 am–12.00 am; Saturday, 7.00 am–12.00 am; Sunday, 7.00 am–12.00 am}"
106,Jog.Ya! By Kepomo,,"Jl. Siliran Lor, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",81391395354,4.7,399,,"{Monday, 10.00 am–11.00 pm; Tuesday, 10.00 am–11.00 pm; Wednesday, 10.00 am–11.00 pm; Thursday, 10.00 am–11.00 pm; Friday, 10.00 am–11.00 pm; Saturday, 10.00 am–11.00 pm; Sunday, 10.00 am–11.00 pm}"
107,Kaktus Coffee Place,,"Jl. Gondang Raya No.4-5, RT.08/RW.63, Kentungan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283",82226903743,4.7,"3,697",Cafe,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
108,Kalluna Steak & Indonesian Food | Restaurant & Meeting Space,,"Jl. Sajiono No.13, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",82136939530,4.7,"6,146",Cafe,"{Monday, 10.00 am–10.30 pm; Tuesday, 10.00 am–10.30 pm; Wednesday, 10.00 am–10.30 pm; Thursday, 10.00 am–10.30 pm; Friday, 10.00 am–11.00 pm; Saturday, 10.00 am–11.00 pm; Sunday, 10.00 am–10.30 pm}"
109,Kaloka Space ꧋ꦏꦭꦺꦴꦭꦱ꧀ꦥꦕꦺ,Dekat UMY,"58MJ+RFJ, Brajan, Tamantirto, Kasihan, Bantul Regency, Special Region of Yogyakarta 55184",81314040606,4.7,794,Cafe,"{Monday, 9.00 am–1.00 am; Tuesday, 9.00 am–1.00 am; Wednesday, 9.00 am–1.00 am; Thursday, 9.00 am–1.00 am; Friday, 9.00 am–1.00 am; Saturday, 9.00 am–1.00 am; Sunday, 9.00 am–1.00 am}"
110,Kalola Perumnas,,"Jl. Perumnas, Dabag, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283",81314040606,4.9,431,Cafe,"{Monday, 9.00 am–4.00 am; Tuesday, 9.00 am–4.00 am; Wednesday, 9.00 am–4.00 am; Thursday, 9.00 am–4.00 am; Friday, 9.00 am–4.00 am; Saturday, 9.00 am–4.00 am; Sunday, 9.00 am–4.00 am}"
111,Karta Coffee & Eatery,,"Karta Coffee & Eatery, Jl. Malioboro. 52-58, Suryatmajan, Danurejan Plaza Malioboro, Lt. 1 Unit 13-16, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213",8111991995,4.7,531,,"{Monday, 10.00 am–10.00 pm; Tuesday, 10.00 am–10.00 pm; Wednesday, 10.00 am–10.00 pm; Thursday, 10.00 am–10.00 pm; Friday, 10.00 am–10.00 pm; Saturday, 9.00 am–10.00 pm; Sunday, 9.00 am–10.00 pm}"
112,Kebon Ndalem Coffee & Eatery,,"Jl. Pangeran Diponegoro No.2, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",88233676888,4.4,"5,081",,"{Monday, 10.00 am–12.00 am; Tuesday, 10.00 am–12.00 am; Wednesday, 10.00 am–12.00 am; Thursday, 10.00 am–12.00 am; Friday, 10.00 am–12.00 am; Saturday, 10.00 am–12.00 am; Sunday, 10.00 am–12.00 am}"
113,Kedai Kopi Om Man,murah,"Jl. Pangeran Diponegoro No.1, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",82137352167,4.4,452,,Open 24 Hours
114,Kelakon coffee and eatery,,"Kalangan, Baturetno, Banguntapan, Bantul Regency, Special Region of Yogyakarta",81334455932,4.5,181,Cafe,"{Monday, 1.00 pm–12.00 am; Tuesday, 1.00 pm–12.00 am; Wednesday, 1.00 pm–12.00 am; Thursday, 1.00 pm–12.00 am; Friday, 1.00 pm–12.00 am; Saturday, 1.00 pm–12.00 am; Sunday, 1.00 pm–12.00 am}"
115,Kemari Coffee & space jakal,,"Gg. Pandega Mandala No.3b, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4.6,563,Cafe,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
116,Kenal Coffee Yogyakarta,,"Jl. Mangkuyudan No.19, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143",(0274)382621,4.7,118,,"{Monday, 10.00 am–8.00 pm; Tuesday, 10.00 am–8.00 pm; Wednesday, 10.00 am–8.00 pm; Thursday, 10.00 am–8.00 pm; Friday, 10.00 am–8.00 pm; Saturday, 10.00 am–8.00 pm; Sunday, 10.00 am–8.00 pm}"
117,Kickback Coffee,Sleman,"Jl. Yudistiro No.22, Gentan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",,5,95,Cafe,"{Monday, 8.00 am–12.00 am; Tuesday, 8.00 am–12.00 am; Wednesday, 8.00 am–12.00 am; Thursday, 8.00 am–12.00 am; Friday, 8.00 am–12.00 am; Saturday, 8.00 am–12.00 am; Sunday, 8.00 am–12.00 am}"
118,KITA by inessya,,"Jl. Taman, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133",,4.5,283,Cafe,"{Monday, 8.00 am–6.00 pm; Tuesday, 8.00 am–6.00 pm; Wednesday, 8.00 am–6.00 pm; Thursday, 8.00 am–6.00 pm; Friday, 8.00 am–6.00 pm; Saturday, 8.00 am–6.00 pm; Sunday, 8.00 am–6.00 pm}"
119,KLA ARABICA,Sleman,"Jl. Waringinsari I No.77, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4.9,136,Cafe,"{Monday, 2.00–10.00 pm; Tuesday, 2.00–10.00 pm; Wednesday, 2.00–10.00 pm; Thursday, 2.00–10.00 pm; Friday, 2.00–10.00 pm; Saturday, 2.00–10.00 pm; Sunday, 2.00–10.00 pm}"
120,KLA Co-Working Space,Sleman,"Jl. Prof. Dr. Ir. Herman Johannes Jl. Sagan No.73, Samirono, Caturtunggal, Kec. Depok, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",85967279899,5,695,Cafe,"{Monday, 9.00 am–8.30 pm; Tuesday, 9.00 am–8.30 pm; Wednesday, 9.00 am–8.30 pm; Thursday, 9.00 am–8.30 pm; Friday, 9.00 am–8.30 pm; Saturday, 9.00 am–8.30 pm; Sunday, 9.00 am–8.30 pm}"
121,Koat Coffee Palagan,,"Jl.Palagan Tentara Pelajar, Sariharjo, Kabupaten Sleman Yogyakarta, Daerah Istimewa Yogyakarta 55581",85727055606,4.5,812,Cafe,Open 24 Hours
122,"KOFIBRÜ - Pakuningratan, Yogyakarta",,"Jl. Pakuningratan No.40, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",85134555930,4.4,99,Cafe,"{Monday, 8.00 am–9.30 pm; Tuesday, 8.00 am–9.30 pm; Wednesday, 8.00 am–9.30 pm; Thursday, 8.00 am–9.30 pm; Friday, 8.00 am–9.30 pm; Saturday, 8.00 am–10.00 pm; Sunday, 8.00 am–10.00 pm}"
123,Kolbano Coffee & Eatery,,"Bodeh, Ambarketawang, Gamping, Sleman Regency, Special Region of Yogyakarta 55294",81392668609,4.2,"1,365",,"{Monday, 10.00 am–10.00 pm; Tuesday, 10.00 am–10.00 pm; Wednesday, 10.00 am–10.00 pm; Thursday, 10.00 am–10.00 pm; Friday, 10.00 am–10.00 pm; Saturday, 10.00 am–10.30 pm; Sunday, 10.00 am–10.30 pm}"
124,Kopa Kopi Purwanggan,murah,"Jl. Bausasran No.56, Purwokinanti, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55112",,4.7,370,Cafe,"{Monday, 6.00 pm–2.00 am; Tuesday, 6.00 pm–2.00 am; Wednesday, 6.00 pm–2.00 am; Thursday, 6.00 pm–2.00 am; Friday, 6.00 pm–2.00 am; Saturday, 6.00 pm–2.00 am; Sunday, Closed}"
